Table_Number,Year,Measure,Age,Sex,Indigenous_Status,Year_Dollars,Description1,Description2,Description3,Description4,Description5,Description6,Description7,Uncertainty,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Aust
6A.21,2022-23,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether illicit drugs are a problem in the neighbourhood,Not a problem,,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,47,46,42.2,39,46,42.7,51.4,36.1,44.7
6A.21,2022-23,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether illicit drugs are a problem in the neighbourhood,Not a problem,,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),3,1.5,1.9,2.5,2.8,3,2.9,4.1,1.2
6A.21,2022-23,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether illicit drugs are a problem in the neighbourhood,Don't know,,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,9.6,8.2,10.5,10.2,10,9.6,9.7,9,9.5
6A.21,2022-23,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether illicit drugs are a problem in the neighbourhood,Don't know,,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),1.7,0.8,1.1,1.4,1.5,1.5,1.5,2,0.6
6A.21,2022-23,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether illicit drugs are a problem in the neighbourhood,Sample size,,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1990,8104,5912,2978,2598,1998,2403,1668,27651
6A.21,2022-23,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether illicit drugs are a problem in the neighbourhood,Index,,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1.64,1.64,1.69,1.73,1.63,1.67,1.5,1.81,1.66
6A.21,2022-23,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether speeding cars; dangerous or noisy driving are problems in the neighbourhood,Total major or somewhat a problem,,,,,,Derived from ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,64.6,63.9,69.3,66.3,67.4,68.4,70,59.5,65.9
6A.21,2022-23,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether speeding cars; dangerous or noisy driving are problems in the neighbourhood,Total major or somewhat a problem,,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),3,1.5,1.7,2.4,2.5,2.9,2.7,4.4,1.1
6A.21,2022-23,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether speeding cars; dangerous or noisy driving are problems in the neighbourhood,Not a problem,,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,34.9,35.6,30.2,32.9,32.4,31.1,29.4,40.1,33.6
6A.21,2022-23,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether speeding cars; dangerous or noisy driving are problems in the neighbourhood,Not a problem,,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),2.9,1.5,1.7,2.4,2.5,2.9,2.6,4.4,1.1
6A.21,2022-23,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether speeding cars; dangerous or noisy driving are problems in the neighbourhood,Don't know,,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0.4,0.4,0.4,0.8,0.3,0.5,0.6,0.3,0.5
6A.21,2022-23,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether speeding cars; dangerous or noisy driving are problems in the neighbourhood,Don't know,,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),0.4,0.2,0.2,0.4,0.2,0.3,0.7,0.3,0.2
6A.21,2022-23,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether speeding cars; dangerous or noisy driving are problems in the neighbourhood,Sample size,,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1990,8104,5912,2978,2598,1998,2403,1668,27651
6A.21,2022-23,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether speeding cars; dangerous or noisy driving are problems in the neighbourhood,Index,,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1.84,1.82,1.9,1.84,1.81,1.89,1.88,1.78,1.85
6A.21,2021-22,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether illicit drugs are a problem in the neighbourhood,Total major or somewhat a problem,,,,,,Derived from ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,44.3,46.3,45.7,49.6,42.5,45.5,37.2,55.1,45.5
6A.21,2021-22,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether illicit drugs are a problem in the neighbourhood,Total major or somewhat a problem,,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),3,1.5,2,2.6,2.8,2.8,2.6,3.7,1.2
6A.21,2021-22,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether illicit drugs are a problem in the neighbourhood,Not a problem,,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,46.4,45.8,45,41.5,46.9,46,52.5,34.6,45.5
6A.21,2021-22,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether illicit drugs are a problem in the neighbourhood,Not a problem,,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),3,1.5,2,2.6,2.9,2.9,2.7,3.4,1.2
6A.21,2021-22,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether illicit drugs are a problem in the neighbourhood,Don't know,,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,9.3,7.9,9.2,8.9,10.7,8.5,10.3,10.3,9
6A.21,2021-22,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether illicit drugs are a problem in the neighbourhood,Don't know,,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),1.6,0.7,0.9,1.3,1.7,1.3,1.4,2.4,0.6
6A.21,2021-22,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether illicit drugs are a problem in the neighbourhood,Sample size,,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1995,8104,6004,3002,2597,2001,2402,1821,27926
6A.21,2021-22,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether illicit drugs are a problem in the neighbourhood,Index,,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1.64,1.65,1.66,1.7,1.62,1.64,1.48,1.8,1.65
6A.21,2021-22,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether speeding cars; dangerous or noisy driving are problems in the neighbourhood,Total major or somewhat a problem,,,,,,Derived from ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,63.4,65.4,65,65.4,66.5,69.7,67.6,60,64.9
6A.21,2021-22,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether speeding cars; dangerous or noisy driving are problems in the neighbourhood,Total major or somewhat a problem,,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),2.9,1.5,1.9,2.4,2.6,2.7,2.6,3.7,1.1
6A.21,2021-22,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether speeding cars; dangerous or noisy driving are problems in the neighbourhood,Not a problem,,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,36.2,34.1,34.5,33.8,33,30.1,32,39.6,34.7
6A.21,2021-22,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether speeding cars; dangerous or noisy driving are problems in the neighbourhood,Not a problem,,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),2.9,1.5,1.9,2.4,2.6,2.7,2.5,3.7,1.1
6A.21,2021-22,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether speeding cars; dangerous or noisy driving are problems in the neighbourhood,Don't know,,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0.4,0.4,0.5,0.8,0.5,0.3,0.5,0.4,0.5
6A.21,2021-22,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether speeding cars; dangerous or noisy driving are problems in the neighbourhood,Don't know,,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),0.2,0.2,0.2,0.4,0.3,0.4,0.4,0.3,0.1
6A.21,2021-22,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether speeding cars; dangerous or noisy driving are problems in the neighbourhood,Sample size,,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1995,8104,6004,3002,2597,2001,2402,1821,27926
6A.21,2021-22,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether speeding cars; dangerous or noisy driving are problems in the neighbourhood,Index,,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1.83,1.85,1.84,1.81,1.85,1.9,1.85,1.78,1.84
6A.21,2020-21,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether illicit drugs are a problem in the neighbourhood,Total major or somewhat a problem,,,,,,Derived from ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,47.6,45.2,47.1,54.2,44.4,45.6,36.7,58.4,47.2
6A.21,2020-21,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether illicit drugs are a problem in the neighbourhood,Total major or somewhat a problem,,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),3.2,1.6,2,2.8,3,3.4,2.8,3.7,1.2
6A.21,2020-21,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether illicit drugs are a problem in the neighbourhood,Not a problem,,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,43.5,47.1,43.7,36.7,45.8,45.3,52,31.8,44
6A.21,2020-21,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether illicit drugs are a problem in the neighbourhood,Not a problem,,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),3.1,1.6,2,2.7,3,3.5,3,3.4,1.2
6A.21,2020-21,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether illicit drugs are a problem in the neighbourhood,Don't know,,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,8.9,7.6,9.2,9.2,9.7,9,11.3,9.9,8.8
6A.21,2020-21,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether illicit drugs are a problem in the neighbourhood,Don't know,,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),1.6,0.7,0.9,1.4,1.4,1.4,1.9,2.2,0.6
6A.21,2020-21,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether illicit drugs are a problem in the neighbourhood,Sample size,,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1996,8103,6004,3002,2598,2003,2401,1857,27964
6A.21,2020-21,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether illicit drugs are a problem in the neighbourhood,Index,,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1.67,1.62,1.67,1.77,1.64,1.62,1.49,1.83,1.66
6A.21,2020-21,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether speeding cars; dangerous or noisy driving are problems in the neighbourhood,Total major or somewhat a problem,,,,,,Derived from ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,68.9,64.7,67.1,63.7,64.4,66.5,70.3,59.3,66.4
6A.21,2020-21,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether speeding cars; dangerous or noisy driving are problems in the neighbourhood,Total major or somewhat a problem,,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),2.9,1.5,1.9,2.7,2.9,3.3,2.8,3.8,1.1
6A.21,2020-21,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether speeding cars; dangerous or noisy driving are problems in the neighbourhood,Not a problem,,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,30.5,34.8,32.5,35.9,35,32.8,29.2,39.8,33
6A.21,2020-21,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether speeding cars; dangerous or noisy driving are problems in the neighbourhood,Not a problem,,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),2.9,1.5,1.9,2.7,2.9,3.3,2.8,3.8,1.1
6A.21,2020-21,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether speeding cars; dangerous or noisy driving are problems in the neighbourhood,Don't know,,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0.7,0.6,0.4,0.4,0.6,0.6,0.5,0.9,0.6
6A.21,2020-21,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether speeding cars; dangerous or noisy driving are problems in the neighbourhood,Don't know,,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),0.5,0.3,0.1,0.2,0.3,0.4,0.4,0.7,0.2
6A.21,2020-21,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether speeding cars; dangerous or noisy driving are problems in the neighbourhood,Sample size,,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1996,8103,6004,3002,2598,2003,2401,1857,27964
6A.21,2020-21,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether speeding cars; dangerous or noisy driving are problems in the neighbourhood,Index,,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1.88,1.82,1.87,1.8,1.82,1.82,1.86,1.77,1.85
6A.21,2019-20,Perceptions of crime problems,All ages,All people,All people,,Perceptions of crime problems,Opinion on whether illicit drugs are a problem in the neighbourhood,Total major or somewhat a problem,,,,,,Derived from ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,48.8,48.9,47.4,54,44.7,49,37.5,56.1,48.7
